Location_ID,Season,Data_Type,Parameter,Value,Unit,Acceptable_Limit,Permissible_Limit,Compliance_Status,Reference
PD-3,Premonsoon,Original,SO4,14.4,mg/L,200,400,Compliant - Safe,Table 2
PD-3,Premonsoon,Original,NO3,12.35,mg/L,45,45,Compliant - Safe,Table 2
PD-3,Premonsoon,Original,F,0.03,mg/L,1.0,1.5,Compliant - Safe,Table 2
PD-3,Premonsoon,Original,EC,331.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
PD-3,Premonsoon,Original,Na,15.88,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
PD-3,Premonsoon,Original,K,6.5,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
PD-3,Premonsoon,Original,DO,6.51,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
PD-3,Premonsoon,Original,HCO3,89.0,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
PD-4,Premonsoon,Original,pH,5.81,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
PD-4,Premonsoon,Original,TDS,234.0,mg/L,500,2000,Compliant - Safe,Table 1
PD-4,Premonsoon,Original,TH,16.0,mg/L,200,600,Compliant - Safe,Table 2
PD-4,Premonsoon,Original,Alkalinity,107.0,mg/L,200,600,Compliant - Safe,Table 2
PD-4,Premonsoon,Original,Ca,32.75,mg/L,75,200,Compliant - Safe,Table 2
PD-4,Premonsoon,Original,Mg,6.05,mg/L,30,100,Compliant - Safe,Table 2
PD-4,Premonsoon,Original,Iron,0.27,mg/L,0.3,0.3,Compliant - Safe,Table 2
PD-4,Premonsoon,Original,Cl,38.54,mg/L,250,1000,Compliant - Safe,Table 2
PD-4,Premonsoon,Original,SO4,8.5,mg/L,200,400,Compliant - Safe,Table 2
PD-4,Premonsoon,Original,NO3,17.84,mg/L,45,45,Compliant - Safe,Table 2
PD-4,Premonsoon,Original,F,0.06,mg/L,1.0,1.5,Compliant - Safe,Table 2
PD-4,Premonsoon,Original,EC,366.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
PD-4,Premonsoon,Original,Na,27.83,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
PD-4,Premonsoon,Original,K,4.18,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
PD-4,Premonsoon,Original,DO,6.3,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
PD-4,Premonsoon,Original,HCO3,95.42,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
PD-5,Premonsoon,Original,pH,7.81,,"(6.5, 8.5)","(6.5, 8.5)",Compliant - Safe,Table 1
PD-5,Premonsoon,Original,TDS,224.0,mg/L,500,2000,Compliant - Safe,Table 1
PD-5,Premonsoon,Original,TH,49.0,mg/L,200,600,Compliant - Safe,Table 2
PD-5,Premonsoon,Original,Alkalinity,108.0,mg/L,200,600,Compliant - Safe,Table 2
PD-5,Premonsoon,Original,Ca,32.12,mg/L,75,200,Compliant - Safe,Table 2
PD-5,Premonsoon,Original,Mg,6.71,mg/L,30,100,Compliant - Safe,Table 2
PD-5,Premonsoon,Original,Iron,0.12,mg/L,0.3,0.3,Compliant - Safe,Table 2
PD-5,Premonsoon,Original,Cl,39.12,mg/L,250,1000,Compliant - Safe,Table 2
PD-5,Premonsoon,Original,SO4,11.9,mg/L,200,400,Compliant - Safe,Table 2
PD-5,Premonsoon,Original,NO3,4.87,mg/L,45,45,Compliant - Safe,Table 2
PD-5,Premonsoon,Original,F,0.08,mg/L,1.0,1.5,Compliant - Safe,Table 2
PD-5,Premonsoon,Original,EC,350.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
PD-5,Premonsoon,Original,Na,21.16,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
PD-5,Premonsoon,Original,K,5.6,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
PD-5,Premonsoon,Original,DO,7.48,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
PD-5,Premonsoon,Original,HCO3,81.85,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
IA-1,Premonsoon,Original,pH,6.76,,"(6.5, 8.5)","(6.5, 8.5)",Compliant - Safe,Table 1
IA-1,Premonsoon,Original,TDS,325.0,mg/L,500,2000,Compliant - Safe,Table 1
IA-1,Premonsoon,Original,TH,42.0,mg/L,200,600,Compliant - Safe,Table 2
IA-1,Premonsoon,Original,Alkalinity,119.0,mg/L,200,600,Compliant - Safe,Table 2
IA-1,Premonsoon,Original,Ca,34.3,mg/L,75,200,Compliant - Safe,Table 2
IA-1,Premonsoon,Original,Mg,8.13,mg/L,30,100,Compliant - Safe,Table 2
IA-1,Premonsoon,Original,Iron,0.35,mg/L,0.3,0.3,Non-Compliant - Unsafe,Table 2
IA-1,Premonsoon,Original,Cl,64.85,mg/L,250,1000,Compliant - Safe,Table 2
IA-1,Premonsoon,Original,SO4,22.9,mg/L,200,400,Compliant - Safe,Table 2
IA-1,Premonsoon,Original,NO3,32.89,mg/L,45,45,Compliant - Safe,Table 2
IA-1,Premonsoon,Original,F,0.07,mg/L,1.0,1.5,Compliant - Safe,Table 2
IA-1,Premonsoon,Original,EC,508.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
IA-1,Premonsoon,Original,Na,33.87,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
IA-1,Premonsoon,Original,K,8.71,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
IA-1,Premonsoon,Original,DO,6.34,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
IA-1,Premonsoon,Original,HCO3,116.25,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
IA-2,Premonsoon,Original,pH,4.48,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
IA-2,Premonsoon,Original,TDS,270.0,mg/L,500,2000,Compliant - Safe,Table 1
IA-2,Premonsoon,Original,TH,9.0,mg/L,200,600,Compliant - Safe,Table 2
IA-2,Premonsoon,Original,Alkalinity,116.0,mg/L,200,600,Compliant - Safe,Table 2
IA-2,Premonsoon,Original,Ca,33.32,mg/L,75,200,Compliant - Safe,Table 2
IA-2,Premonsoon,Original,Mg,8.0,mg/L,30,100,Compliant - Safe,Table 2
IA-2,Premonsoon,Original,Iron,0.36,mg/L,0.3,0.3,Non-Compliant - Unsafe,Table 2
IA-2,Premonsoon,Original,Cl,44.61,mg/L,250,1000,Compliant - Safe,Table 2
IA-2,Premonsoon,Original,SO4,7.8,mg/L,200,400,Compliant - Safe,Table 2
IA-2,Premonsoon,Original,NO3,32.65,mg/L,45,45,Compliant - Safe,Table 2
IA-2,Premonsoon,Original,F,0.03,mg/L,1.0,1.5,Compliant - Safe,Table 2
IA-2,Premonsoon,Original,EC,422.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
IA-2,Premonsoon,Original,Na,34.55,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
IA-2,Premonsoon,Original,K,5.51,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
IA-2,Premonsoon,Original,DO,6.18,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
IA-2,Premonsoon,Original,HCO3,101.5,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
IA-3,Premonsoon,Original,pH,6.38,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
IA-3,Premonsoon,Original,TDS,262.0,mg/L,500,2000,Compliant - Safe,Table 1
IA-3,Premonsoon,Original,TH,39.0,mg/L,200,600,Compliant - Safe,Table 2
IA-3,Premonsoon,Original,Alkalinity,113.0,mg/L,200,600,Compliant - Safe,Table 2
IA-3,Premonsoon,Original,Ca,33.5,mg/L,75,200,Compliant - Safe,Table 2
IA-3,Premonsoon,Original,Mg,7.06,mg/L,30,100,Compliant - Safe,Table 2
IA-3,Premonsoon,Original,Iron,0.26,mg/L,0.3,0.3,Compliant - Safe,Table 2
IA-3,Premonsoon,Original,Cl,58.13,mg/L,250,1000,Compliant - Safe,Table 2
IA-3,Premonsoon,Original,SO4,19.09,mg/L,200,400,Compliant - Safe,Table 2
IA-3,Premonsoon,Original,NO3,22.66,mg/L,45,45,Compliant - Safe,Table 2
IA-3,Premonsoon,Original,F,0.04,mg/L,1.0,1.5,Compliant - Safe,Table 2
IA-3,Premonsoon,Original,EC,409.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
IA-3,Premonsoon,Original,Na,32.74,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
IA-3,Premonsoon,Original,K,6.37,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
IA-3,Premonsoon,Original,DO,6.79,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
IA-3,Premonsoon,Original,HCO3,76.1,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
IA-4,Premonsoon,Original,pH,6.57,,"(6.5, 8.5)","(6.5, 8.5)",Compliant - Safe,Table 1
IA-4,Premonsoon,Original,TDS,253.0,mg/L,500,2000,Compliant - Safe,Table 1
IA-4,Premonsoon,Original,TH,36.0,mg/L,200,600,Compliant - Safe,Table 2
IA-4,Premonsoon,Original,Alkalinity,112.0,mg/L,200,600,Compliant - Safe,Table 2
IA-4,Premonsoon,Original,Ca,33.44,mg/L,75,200,Compliant - Safe,Table 2
IA-4,Premonsoon,Original,Mg,6.95,mg/L,30,100,Compliant - Safe,Table 2
IA-4,Premonsoon,Original,Iron,0.22,mg/L,0.3,0.3,Compliant - Safe,Table 2
IA-4,Premonsoon,Original,Cl,41.79,mg/L,250,1000,Compliant - Safe,Table 2
IA-4,Premonsoon,Original,SO4,15.71,mg/L,200,400,Compliant - Safe,Table 2
IA-4,Premonsoon,Original,NO3,9.85,mg/L,45,45,Compliant - Safe,Table 2
IA-4,Premonsoon,Original,F,0.08,mg/L,1.0,1.5,Compliant - Safe,Table 2
IA-4,Premonsoon,Original,EC,395.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
IA-4,Premonsoon,Original,Na,21.69,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
IA-4,Premonsoon,Original,K,5.94,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
IA-4,Premonsoon,Original,DO,6.54,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
IA-4,Premonsoon,Original,HCO3,111.38,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
IA-5,Premonsoon,Original,pH,5.35,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
IA-5,Premonsoon,Original,TDS,224.0,mg/L,500,2000,Compliant - Safe,Table 1
IA-5,Premonsoon,Original,TH,11.0,mg/L,200,600,Compliant - Safe,Table 2
IA-5,Premonsoon,Original,Alkalinity,105.0,mg/L,200,600,Compliant - Safe,Table 2
IA-5,Premonsoon,Original,Ca,31.53,mg/L,75,200,Compliant - Safe,Table 2
IA-5,Premonsoon,Original,Mg,6.39,mg/L,30,100,Compliant - Safe,Table 2
IA-5,Premonsoon,Original,Iron,0.22,mg/L,0.3,0.3,Compliant - Safe,Table 2
IA-5,Premonsoon,Original,Cl,35.01,mg/L,250,1000,Compliant - Safe,Table 2
IA-5,Premonsoon,Original,SO4,12.08,mg/L,200,400,Compliant - Safe,Table 2
IA-5,Premonsoon,Original,NO3,13.39,mg/L,45,45,Compliant - Safe,Table 2
IA-5,Premonsoon,Original,F,0.03,mg/L,1.0,1.5,Compliant - Safe,Table 2
IA-5,Premonsoon,Original,EC,350.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
IA-5,Premonsoon,Original,Na,20.37,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
IA-5,Premonsoon,Original,K,5.53,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
IA-5,Premonsoon,Original,DO,6.39,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
IA-5,Premonsoon,Original,HCO3,83.89,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
DY-1,Premonsoon,Original,pH,5.44,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
DY-1,Premonsoon,Original,TDS,272.0,mg/L,500,2000,Compliant - Safe,Table 1
DY-1,Premonsoon,Original,TH,9.0,mg/L,200,600,Compliant - Safe,Table 2
DY-1,Premonsoon,Original,Alkalinity,118.0,mg/L,200,600,Compliant - Safe,Table 2
DY-1,Premonsoon,Original,Ca,34.15,mg/L,75,200,Compliant - Safe,Table 2
DY-1,Premonsoon,Original,Mg,8.07,mg/L,30,100,Compliant - Safe,Table 2
DY-1,Premonsoon,Original,Iron,0.32,mg/L,0.3,0.3,Non-Compliant - Unsafe,Table 2
DY-1,Premonsoon,Original,Cl,32.1,mg/L,250,1000,Compliant - Safe,Table 2
DY-1,Premonsoon,Original,SO4,15.7,mg/L,200,400,Compliant - Safe,Table 2
DY-1,Premonsoon,Original,NO3,19.74,mg/L,45,45,Compliant - Safe,Table 2
DY-1,Premonsoon,Original,F,0.04,mg/L,1.0,1.5,Compliant - Safe,Table 2
DY-1,Premonsoon,Original,EC,425.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
DY-1,Premonsoon,Original,Na,22.45,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
DY-1,Premonsoon,Original,K,7.63,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
DY-1,Premonsoon,Original,DO,7.36,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
DY-1,Premonsoon,Original,HCO3,122.79,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
DY-2,Premonsoon,Original,pH,6.61,,"(6.5, 8.5)","(6.5, 8.5)",Compliant - Safe,Table 1
DY-2,Premonsoon,Original,TDS,312.0,mg/L,500,2000,Compliant - Safe,Table 1
DY-2,Premonsoon,Original,TH,38.0,mg/L,200,600,Compliant - Safe,Table 2
DY-2,Premonsoon,Original,Alkalinity,124.0,mg/L,200,600,Compliant - Safe,Table 2
DY-2,Premonsoon,Original,Ca,34.32,mg/L,75,200,Compliant - Safe,Table 2
DY-2,Premonsoon,Original,Mg,9.4,mg/L,30,100,Compliant - Safe,Table 2
DY-2,Premonsoon,Original,Iron,0.34,mg/L,0.3,0.3,Non-Compliant - Unsafe,Table 2
DY-2,Premonsoon,Original,Cl,55.48,mg/L,250,1000,Compliant - Safe,Table 2
DY-2,Premonsoon,Original,SO4,25.4,mg/L,200,400,Compliant - Safe,Table 2
DY-2,Premonsoon,Original,NO3,25.32,mg/L,45,45,Compliant - Safe,Table 2
DY-2,Premonsoon,Original,F,0.06,mg/L,1.0,1.5,Compliant - Safe,Table 2
DY-2,Premonsoon,Original,EC,488.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
DY-2,Premonsoon,Original,Na,31.15,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
DY-2,Premonsoon,Original,K,9.17,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
DY-2,Premonsoon,Original,DO,5.39,mg/L,"(6, 14)","(4, 14)",Permissible - Needs Caution,CPCB Class A Criteria
DY-2,Premonsoon,Original,HCO3,119.11,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
DY-3,Premonsoon,Original,pH,6.87,,"(6.5, 8.5)","(6.5, 8.5)",Compliant - Safe,Table 1
DY-3,Premonsoon,Original,TDS,253.0,mg/L,500,2000,Compliant - Safe,Table 1
DY-3,Premonsoon,Original,TH,35.0,mg/L,200,600,Compliant - Safe,Table 2
DY-3,Premonsoon,Original,Alkalinity,119.0,mg/L,200,600,Compliant - Safe,Table 2
DY-3,Premonsoon,Original,Ca,32.88,mg/L,75,200,Compliant - Safe,Table 2
DY-3,Premonsoon,Original,Mg,8.97,mg/L,30,100,Compliant - Safe,Table 2
DY-3,Premonsoon,Original,Iron,0.23,mg/L,0.3,0.3,Compliant - Safe,Table 2
DY-3,Premonsoon,Original,Cl,35.45,mg/L,250,1000,Compliant - Safe,Table 2
DY-3,Premonsoon,Original,SO4,24.8,mg/L,200,400,Compliant - Safe,Table 2
DY-3,Premonsoon,Original,NO3,18.98,mg/L,45,45,Compliant - Safe,Table 2
DY-3,Premonsoon,Original,F,0.07,mg/L,1.0,1.5,Compliant - Safe,Table 2
DY-3,Premonsoon,Original,EC,395.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
DY-3,Premonsoon,Original,Na,25.31,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
DY-3,Premonsoon,Original,K,7.62,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
DY-3,Premonsoon,Original,DO,7.11,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
DY-3,Premonsoon,Original,HCO3,89.53,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
DY-4,Premonsoon,Original,pH,5.81,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
DY-4,Premonsoon,Original,TDS,296.0,mg/L,500,2000,Compliant - Safe,Table 1
DY-4,Premonsoon,Original,TH,14.0,mg/L,200,600,Compliant - Safe,Table 2
DY-4,Premonsoon,Original,Alkalinity,123.0,mg/L,200,600,Compliant - Safe,Table 2
DY-4,Premonsoon,Original,Ca,35.19,mg/L,75,200,Compliant - Safe,Table 2
DY-4,Premonsoon,Original,Mg,8.6,mg/L,30,100,Compliant - Safe,Table 2
DY-4,Premonsoon,Original,Iron,0.39,mg/L,0.3,0.3,Non-Compliant - Unsafe,Table 2
DY-4,Premonsoon,Original,Cl,45.45,mg/L,250,1000,Compliant - Safe,Table 2
DY-4,Premonsoon,Original,SO4,21.65,mg/L,200,400,Compliant - Safe,Table 2
DY-4,Premonsoon,Original,NO3,42.86,mg/L,45,45,Compliant - Safe,Table 2
DY-4,Premonsoon,Original,F,0.07,mg/L,1.0,1.5,Compliant - Safe,Table 2
DY-4,Premonsoon,Original,EC,463.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
DY-4,Premonsoon,Original,Na,33.03,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
DY-4,Premonsoon,Original,K,7.79,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
DY-4,Premonsoon,Original,DO,5.62,mg/L,"(6, 14)","(4, 14)",Permissible - Needs Caution,CPCB Class A Criteria
DY-4,Premonsoon,Original,HCO3,98.33,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
DY-5,Premonsoon,Original,pH,5.96,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
DY-5,Premonsoon,Original,TDS,257.0,mg/L,500,2000,Compliant - Safe,Table 1
DY-5,Premonsoon,Original,TH,30.0,mg/L,200,600,Compliant - Safe,Table 2
DY-5,Premonsoon,Original,Alkalinity,109.0,mg/L,200,600,Compliant - Safe,Table 2
DY-5,Premonsoon,Original,Ca,33.46,mg/L,75,200,Compliant - Safe,Table 2
DY-5,Premonsoon,Original,Mg,6.18,mg/L,30,100,Compliant - Safe,Table 2
DY-5,Premonsoon,Original,Iron,0.24,mg/L,0.3,0.3,Compliant - Safe,Table 2
DY-5,Premonsoon,Original,Cl,49.48,mg/L,250,1000,Compliant - Safe,Table 2
DY-5,Premonsoon,Original,SO4,7.1,mg/L,200,400,Compliant - Safe,Table 2
DY-5,Premonsoon,Original,NO3,37.17,mg/L,45,45,Compliant - Safe,Table 2
DY-5,Premonsoon,Original,F,0.05,mg/L,1.0,1.5,Compliant - Safe,Table 2
DY-5,Premonsoon,Original,EC,402.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
DY-5,Premonsoon,Original,Na,26.57,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
DY-5,Premonsoon,Original,K,8.32,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
DY-5,Premonsoon,Original,DO,5.2,mg/L,"(6, 14)","(4, 14)",Permissible - Needs Caution,CPCB Class A Criteria
DY-5,Premonsoon,Original,HCO3,85.43,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
PD-1,Monsoon,Original,pH,5.85,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
PD-1,Monsoon,Original,TDS,428.1088,mg/L,500,2000,Compliant - Safe,Table 1
PD-1,Monsoon,Original,TH,111.0,mg/L,200,600,Compliant - Safe,Table 2
PD-1,Monsoon,Original,Alkalinity,69.0,mg/L,200,600,Compliant - Safe,Table 2
PD-1,Monsoon,Original,Ca,40.39,mg/L,75,200,Compliant - Safe,Table 2
PD-1,Monsoon,Original,Mg,9.81,mg/L,30,100,Compliant - Safe,Table 2
PD-1,Monsoon,Original,Iron,0.1,mg/L,0.3,0.3,Compliant - Safe,Table 2
PD-1,Monsoon,Original,Cl,60.87,mg/L,250,1000,Compliant - Safe,Table 2
PD-1,Monsoon,Original,SO4,28.92,mg/L,200,400,Compliant - Safe,Table 2
PD-1,Monsoon,Original,NO3,38.38,mg/L,45,45,Compliant - Safe,Table 2
PD-1,Monsoon,Original,F,0.2,mg/L,1.0,1.5,Compliant - Safe,Table 2
PD-1,Monsoon,Original,EC,668.92,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
PD-1,Monsoon,Original,Na,80.31,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
PD-1,Monsoon,Original,K,12.15,mg/L,12,12,Non-Compliant - Unsafe,GoI FSSAI / WHO advisory
PD-1,Monsoon,Original,DO,7.27,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
PD-1,Monsoon,Original,HCO3,146.7,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
PD-2,Monsoon,Original,pH,6.74,,"(6.5, 8.5)","(6.5, 8.5)",Compliant - Safe,Table 1
PD-2,Monsoon,Original,TDS,370.188,mg/L,500,2000,Compliant - Safe,Table 1
PD-2,Monsoon,Original,TH,74.0,mg/L,200,600,Compliant - Safe,Table 2
PD-2,Monsoon,Original,Alkalinity,97.0,mg/L,200,600,Compliant - Safe,Table 2
PD-2,Monsoon,Original,Ca,34.16,mg/L,75,200,Compliant - Safe,Table 2
PD-2,Monsoon,Original,Mg,11.28,mg/L,30,100,Compliant - Safe,Table 2
PD-2,Monsoon,Original,Iron,0.38,mg/L,0.3,0.3,Non-Compliant - Unsafe,Table 2
